payload_offset,section,origin_zero_word,full_word,delta_or_kind,classification
13A3,assembler,1E07,9A3F,7C38,normal
13A9,assembler,1559,9191,7C38,normal
13AB,assembler,1E15,9A4D,7C38,normal
13AD,assembler,1EF0,9B28,7C38,normal
13AF,assembler,1847,947F,7C38,normal
13B1,assembler,16E8,9320,7C38,normal
13B3,assembler,13D6,900E,7C38,normal
13B5,assembler,191F,9557,7C38,normal
13B7,assembler,1E7E,9AB6,7C38,normal
13B9,assembler,1716,934E,7C38,normal
13BB,assembler,1716,934E,7C38,normal
13BD,assembler,1471,90A9,7C38,normal
13C0,assembler,3E68,BAA0,7C38,normal
13C3,assembler,24AD,A0E5,7C38,normal
13C7,assembler,13CE,9006,7C38,normal
13CA,assembler,2475,A0AD,7C38,normal
13CF,assembler,2A17,A64F,7C38,normal
13D7,assembler,13DD,9015,7C38,normal
13DA,assembler,1B86,97BE,7C38,normal
13DE,assembler,2D40,A978,7C38,normal
13E1,assembler,2D11,A949,7C38,normal
13E7,assembler,27B7,A3EF,7C38,normal
13F1,assembler,2CE5,A91D,7C38,normal
13F6,assembler,26D2,A30A,7C38,normal
13F9,assembler,22C9,9F01,7C38,normal
1400,assembler,1449,9081,7C38,normal
1407,assembler,26D2,A30A,7C38,normal
140C,assembler,1B94,97CC,7C38,normal
1411,assembler,296E,A5A6,7C38,normal
